Date,User,Tweet,Sentiment_Score,Sentiment,Team
2025-03-02 10:03:19+00:00,1896138008296124416,"@StarSportsTel 
Indian premier league ❌ Indian placement league ✅",0.0,Neutral,MI
2025-03-02 09:58:02+00:00,1490511497591619585,"The spirit of cricket is not just about winning, it's about the love for the game.
🏏🎉
#CricketInspiration
#IPL (Indian Premier League) #ICC (International Cricket Council)
#T20 (Twenty20 cricket)
#TestCricket
#CricketWorldCup https://t.co/mBzIg4DZJb",0.15,Positive,MI
2025-03-02 09:57:54+00:00,1490511497591619585,"The spirit of cricket is not just about winning, it's about the love for the game.
🏏🎉
#CricketInspiration
#IPL (Indian Premier League) #ICC (International Cricket Council)
#T20 (Twenty20 cricket)
#TestCricket
#CricketWorldCup https://t.co/cMihYauUlg",0.15,Positive,MI
2025-03-02 09:57:50+00:00,1490511497591619585,"The spirit of cricket is not just about winning, it's about the love for the game.
🏏🎉
#CricketInspiration
#IPL (Indian Premier League) #ICC (International Cricket Council)
#T20 (Twenty20 cricket)
#TestCricket
#CricketWorldCup https://t.co/d781j4qM0h",0.15,Positive,MI
2025-03-02 09:57:26+00:00,1490511497591619585,"The spirit of cricket is not just about winning, it's about the love for the game.
🏏🎉
#CricketInspiration
#IPL (Indian Premier League) #ICC (International Cricket Council)
#T20 (Twenty20 cricket)
#TestCricket
#CricketWorldCup https://t.co/PreU214g28",0.15,Positive,MI
2025-03-02 09:56:15+00:00,1490511497591619585,"The spirit of cricket is not just about winning, it's about the love for the game.
🏏🎉
#CricketInspiration
#IPL (Indian Premier League) #ICC (International Cricket Council)
#T20 (Twenty20 cricket)
#TestCricket
#CricketWorldCup https://t.co/zQeu5xTgeD",0.15,Positive,MI
2025-03-02 09:56:02+00:00,1490511497591619585,"The spirit of cricket is not just about winning, it's about the love for the game.
🏏🎉
#CricketInspiration
#IPL (Indian Premier League) #ICC (International Cricket Council)
#T20 (Twenty20 cricket)
#TestCricket
#CricketWorldCup https://t.co/TgkhST9H4v",0.15,Positive,MI
2025-03-02 09:55:47+00:00,1490511497591619585,"The spirit of cricket is not just about winning, it's about the love for the game.
🏏🎉
#CricketInspiration
#IPL (Indian Premier League) #ICC (International Cricket Council)
#T20 (Twenty20 cricket)
#TestCricket
#CricketWorldCup https://t.co/fxVFXt48YB",0.15,Positive,MI
2025-03-02 09:55:46+00:00,1490511497591619585,"The spirit of cricket is not just about winning, it's about the love for the game.
🏏🎉
#CricketInspiration
#IPL (Indian Premier League) #ICC (International Cricket Council)
#T20 (Twenty20 cricket)
#TestCricket
#CricketWorldCup https://t.co/TT7WmcEFAE",0.15,Positive,MI
2025-03-02 07:55:41+00:00,1490511497591619585,"The spirit of cricket is not just about winning, it's about the love for the game.
🏏🎉
#CricketInspiration
#IPL (Indian Premier League) #ICC (International Cricket Council)
#T20 (Twenty20 cricket)
#TestCricket
#CricketWorldCup https://t.co/4VWmfNfAyk",0.15,Positive,MI
2025-03-02 07:06:31+00:00,1887299797247533056,"Inzamam ul Haq Urges IPL Boycott Amid Champions Trophy Controversy

Former Pakistani cricketer Inzamam ul Haq has called for other cricket boards to stop sending players to the Indian Premier League (IPL) in a strong criticism of the Board of Control for Cricket in India (BCCI)… https://t.co/7hni1n2VrW",0.10277777777777779,Positive,MI
2025-03-02 04:34:48+00:00,1658805587554205696,@DineshJaiHind7 The Indian Premier League started in 2008.,0.0,Neutral,MI
2025-03-02 03:17:06+00:00,1680971534742228994,"@myogiadityanath To you inform that who are present in BJP political parties won the government in 🇮🇳india gives party Taj hotel🏨 ICC ( international cricket council) IPL ,( indian premier League) ISL, Pro Kabbadi Forward to message BJP script and hr",0.0,Neutral,MI
2025-03-02 02:37:31+00:00,1836993275367997440,@IPL BCCI should ban those foreign players in Indian premier league who play in Pakistan super league.,0.10416666666666666,Positive,MI
2025-03-02 02:36:58+00:00,1836993275367997440,@IPL @mipaltan BCCI should ban those foreign players in Indian premier league who play in Pakistan super league.,0.10416666666666666,Positive,MI
2025-03-02 02:36:18+00:00,1836993275367997440,@IPL BCCI should ban those foreign players in Indian premier league who play in Pakistan super league.,0.10416666666666666,Positive,MI
2025-03-02 02:26:34+00:00,1836993275367997440,@IPL @KKRiders @RCBTweets BCCI should ban those foreign players in Indian premier league who play in Pakistan super league.,0.10416666666666666,Positive,MI
2025-03-01 21:26:20+00:00,154120138,"This week in #sport March 3-9, p2 of 2

🏉6 Nations Rugby, Sat &amp; Sun
🔴World Grand Prix snooker, Tues-Sun
Indian Wells tennis (Mar 5-16)
Arnold Palmer golf (Thur-Sun)
Premier League (Thur) &amp; Belgian Open darts (Fri-Sun)
Champions Trophy cricket (Tue, Wed &amp; Sun)
USA sport, &amp; more! https://t.co/8mf3rJ0dh3",0.375,Positive,MI
2025-03-01 20:51:48+00:00,1730277138547281920,"@PR_master_Pant Vs RCB 2021
Vs LSG 2022
Vs RCB 2024
&amp; a bad out of form and injury prone ipl 2020 I don't remember much,but other than that out of 130 games he played find me any inning where he played slow,above mentioned matches were the odd days when you try your full but fails to hit somehow",-0.22833333333333333,Negative,RCB
2025-03-01 18:29:11+00:00,388120175,@WikeCricket Richard Scudamore famously said Manchester United’s decline was bad for the premier league. Indian cricket is 500x that in cricket. Show must go on.,-0.09999999999999992,Negative,MI
2025-03-01 18:18:45+00:00,1221873540258914304,RT @GodR45: @bhosaleyash14 They just can’t digest that. Every cricket fan even our rivals CSGay fans says that MI 2020 is the greatest. We…,1.0,Positive,MI
2025-03-01 17:28:54+00:00,1566089518994051072,@bhosaleyash14 They just can’t digest that. Every cricket fan even our rivals CSGay fans says that MI 2020 is the greatest. We in our prime 2019/20 thrashed CSK/KKR/SRH/RCB in those seasons. Played 18 won 14 💀 against them. Our 2017 team is enough for any IPL eleven. https://t.co/zJvvD236zq,0.5,Positive,CSK
2025-03-01 17:27:59+00:00,735073031257620482,"Virat Kohli’s childhood coach Rajkumar Sharma believes that the Indian batting maestro still has several years of international cricket left in him and could continue gracing the Indian Premier League (IPL) well into his 40s if he chooses.
#OmmcomNews  https://t.co/Dxts1DHxAT",0.0,Neutral,MI
2025-03-01 17:19:54+00:00,1687022994185506817,"A thought just passed by my mind.. I was watching the WPL- Women's Premier League and I thought when the Male Cricketers play the same game it's IPL- Indian Premier League and not when women play it.. Why??
Are they/we not Indians...
You know... Just a thought!!!
@yasministry",-0.2604166666666667,Negative,MI
2025-03-01 17:10:46+00:00,1221873540258914304,RT @GodR45: Underrated season. Gets overshadowed by 2020 one… https://t.co/hULtdPu8Pc,0.0,Neutral,RR
2025-03-01 16:56:49+00:00,1745002516302196736,"Wpl seems like Australian premier league
Indian players are only to fill the squad#RCBvDC",0.0,Neutral,MI
2025-03-01 15:51:17+00:00,1566089518994051072,Underrated season. Gets overshadowed by 2020 one… https://t.co/hULtdPu8Pc https://t.co/JpvFaJ3XZD,0.0,Neutral,RR
2025-03-01 15:29:17+00:00,1895757909428178944,"🏏 IPL Fever Begins March 22nd! 
Get accurate match report predictions and stay ahead this IPL season with Betting Raja Rocky!
Why just watch when you can predict &amp; win big? 🏆
📲 For reports, WhatsApp: 7233810339
#IPL2025 #CricketPredictions 
PC- Indian Premier League Officials https://t.co/reakIxSWY3",0.4333333333333334,Positive,MI
2025-03-01 15:10:53+00:00,348432541,"SCYLD BERRY: It's sad the Indian Premier League got the best of Joe Buttler, not England

✍️@scyldberry #TelegraphCricket #ChampionsTrophy2025 

https://t.co/wMbHppPYRF",0.25,Positive,MI
2025-03-01 14:54:26+00:00,19897138,"Former Chennai Super Kings batter and current batting coach Michael Hussey recalled an incident when MS Dhoni fumed at him during the Indian Premier League 2018.

#Cricket 
https://t.co/FCy6fZBMFF",0.1111111111111111,Positive,MI
2025-03-01 14:31:21+00:00,1811287529716654080,"Top 10 Leagues this Season in my opinion.
1)LaLiga🇪🇸
2)Premier League🏴󠁧󠁢󠁥󠁮󠁧󠁿
3)Serie A🇮🇹
4)Bundesliga🇩🇪
5)Liga Portugal🇵🇹 
6)Ligue 1🇫🇷 
7)Erediversie🇳🇱 
8)SuperLiga🇹🇷
9)Major League Soccer🇺🇸 
10)Indian Super League🇮🇳(nationality bias sorry)",0.11111111111111109,Positive,MI
2025-03-01 10:40:44+00:00,1882198073168080896,"@Supreme_huihui_ The IPL trophy is a prestigious award given to the winning team of the Indian Premier League cricket tournament.

It features a Sanskrit inscription ""Yatra Pratibha Avsara Prapnotihi,"" which means ""Where talent meets opportunity"" - reflecting the IPL's goal of providing a… https://t.co/6nRnLf5Qel",0.5,Positive,MI
2025-03-01 10:16:17+00:00,919904160144752640,"Tickets for the Indian Premier League (IPL) 2025 match between Rajasthan Royals (RR) and Chennai Super Kings (CSK) in Guwahati on March 30 are now LIVE on BookMyShow.

Read more: https://t.co/TnZSSoMjRe https://t.co/bDu6AnoEJz",0.32323232323232326,Positive,CSK
2025-03-01 10:16:06+00:00,1318166699913269253,"🏏 #IPL2025 is Coming to #OneTo11! 🚀

The biggest cricket showdown meets the ultimate Web3 gaming experience! 🏆💸 Compete, strategize, and win unlimited rewards with Indian Premier League 2025 on OneTo11!

Are you ready to play, predict, and win? 🏏⚡

#PlayToEarn #Web3Gaming https://t.co/ute68nN4uE",0.5,Positive,MI
2025-03-01 09:52:06+00:00,274180897,"@NeelChakrabarty Bro.. ISL Shield 🛡 is the only important thing .
These play-offs and final are useless.
Premier League, La Liga, Serie A don't have playoffs and final at the end of the regular season. It's just that Indian people and broadcasters are so into this finals hype.",-0.016666666666666663,Negative,MI
2025-03-01 08:16:52+00:00,1875549679439716352,"Did you know? He smashed 516 runs in IPL 2020 with a blazing strike rate of 145.76, powering Mumbai Indians to glory. His international debut was a showstopper—56 runs off just 32 balls against England in 2021, announcing his arrival in style. With his fearless batting and… https://t.co/rbTQ7FRGH6 https://t.co/39bOVNCZ98",0.0,Neutral,RR
2025-03-01 08:14:50+00:00,1875549679439716352,"Did you know? He smashed 516 runs in IPL 2020 with a blazing strike rate of 145.76, powering Mumbai Indians to glory. His international debut was a showstopper—56 runs off just 32 balls against England in 2021, announcing his arrival in style. With his fearless batting and… https://t.co/yAVxSFJaYE https://t.co/39bOVNCZ98",0.0,Neutral,RR
2025-03-01 07:35:59+00:00,1319212258665193473,"@mufaddal_vohra Rinku Singh, a key player for the Kolkata Knight Riders (KKR), is actively preparing for the upcoming Indian Premier League (IPL) 2025 season.",-0.06666666666666667,Negative,MI
2025-03-01 07:15:56+00:00,1841790374349598720,"Laser247 Club: Bet on Exciting Indian Premier League 2025

#Zelenskyy #PMModiInNXTConclave #HBDRamvicharNetamji #KannappaTeaser 
#Laser247Club #Laser247 #Laser247Login 
Get ID :- https://t.co/AQ3FttkxA3 https://t.co/4nJFZvmyCY",0.3,Positive,MI
2025-03-01 07:02:22+00:00,1884282881083887616,"RT @kaya_bsk_228: Kohli Moved to Mumbai in 2016 
Since then 
MI Franchise won 
2017 IPL 
2019 IPL 
2020 IPL 
2023 WPL 
2023 MLC
2024 ILT20…",0.0,Neutral,MI
2025-03-01 05:51:58+00:00,1771469945131450368,Both players have played in the Indian Premier League. What is the maximum number of overs a bowler can bowl in a T20 match?,0.0,Neutral,MI
2025-03-01 05:34:49+00:00,1094533609300492288,@cutesimmi22 The IPL (Indian Premier League) season is always an exciting time for cricket fans!,0.375,Positive,MI
2025-03-01 03:48:46+00:00,17802871,"Odd that @PrimeVideoIN hasn't made the Klopp @LFC documentary available to Indian viewers. Can't be an issue with rights to show premier league footage, because they have the City and Leeds docus. &amp; they produced the docu... So not like they had to buy global rights. What gives?",0.05833333333333334,Positive,MI
2025-02-28 20:28:14+00:00,828841083257778176,"Which Team Azmatullah Omarzai Is Part of in IPL 2025? Here's the Franchise Afghanistan All-Rounder Will Play for in Indian Premier League Season 18

#AzmatullahOmarzai | #ChampionsTrophy | #AFGvAUS | #Afghanistan | #IPL2025 

https://t.co/IFxlkv4XNf",0.0,Neutral,MI
2025-02-28 19:44:54+00:00,1787832839066537984,"@Aditya14raj @UtdBloke_ Quality is shit
Like dog shit
The pitches are shit
Do you think Indian Premier  league is comparable  to the English  prem?",-0.15000000000000002,Negative,MI
2025-02-28 16:29:14+00:00,1092600299099848704,U missed 2020 ipl on Oct 27 dubai Warner smashed 22 to rabada to score his 50 it's absolute cinema. https://t.co/n4iDbGs75F,0.2,Positive,MI
2025-02-28 15:03:19+00:00,1261969241743298560,"3 Times MS Dhoni Owned RCB In Indian Premier League
          Click here to view more: https://t.co/8J1ElvDyj1",0.5,Positive,MI
2025-02-28 13:04:33+00:00,1641882585155645440,@_ahsaandar @fitnigorr Areyy bhai aap smjhe nhi he only supports the Indian premier league not the Indian adminstration 🥰,0.0,Neutral,MI
2025-02-28 12:33:03+00:00,1057909598676340736,"@RVCJ_FB IPL"" because of his incredible consistency and impact in the Indian Premier League. He was a key player for Chennai Super Kings, known for his aggressive batting, outstanding fielding.",0.43333333333333335,Positive,MI
2025-02-28 12:03:41+00:00,1482767105829531650,""" the first ever indian cricketer to score five thousand in Indian premier league history "" your simplest elevates exalted thousand more for him "" https://t.co/Q30V5tzRXm",0.375,Positive,MI
2025-02-28 11:59:43+00:00,155468768,Hijacked ICC tournaments since Indian Premier league Black Money in the Cricket World. Cricket became a game of greed not gentlemen @TheRealPCB @ICC @BCCI #ChampionsTrophy @AussiesArmy #Cricket https://t.co/TrVWc10sEC,-0.2833333333333333,Negative,MI
2025-02-28 11:44:24+00:00,1743819279949316096,"Good Friday evening, do you guys know Mahendra singh Dhoni?

Mahendra Singh Dhoni is an Indian cricketer born on 7 July 1981 in Ranchi, Jharkhand, India. 

Dhoni is currently the chairman of the Chennai Super Kings cricket team in the Indian Premier League (IPL)……….… https://t.co/NVcK8TmikR",0.3444444444444444,Positive,MI
2025-02-28 11:24:12+00:00,828841083257778176,"MI IPL 2025 Tickets: When and How To Buy  Mumbai Indians' Tickets for Home Matches at Wankhede Stadium in Indian Premier League 18?

#MumbaiIndians | #IPL | #IPL2025 

https://t.co/On5WZ0P4KF",0.0,Neutral,MI
2025-02-28 10:33:20+00:00,71748651,"@NeecheSeTopper The kind of money being sloshed around in the Indian Premier League , these guys life is done .",0.6,Positive,MI
2025-02-28 10:31:22+00:00,259843963,"The upcoming edition of Pakistan Super League will directly coincide with the Indian Premier League 2025 season.

#PSL2025 #IPL2025 

https://t.co/3StS8HvHnH",0.21666666666666667,Positive,MI
2025-02-28 10:03:56+00:00,1835465442510372864,"@AftabAl46411910 His record in the Indian Premier League (IPL) is unmatched, with numerous match-winning performances.",0.0,Neutral,MI
2025-02-28 10:03:40+00:00,1835465442510372864,"@bao_xuanL His record in the Indian Premier League (IPL) is unmatched, with numerous match-winning performances.",0.0,Neutral,MI
2025-02-28 09:49:03+00:00,1771331530960605184,"Rohit fans logic:
In ipl, trophy matters, batting doesn't
But in world cup batting matters and not trophy because team game
In test only home matters, overseas doesn't except england

T20is matter only until post pulwama until 2020 nz superover
T20 wcs are irrelevant except 2024",-0.225,Negative,RR
2025-02-28 09:46:48+00:00,500751096,"@JioHotstar And @nielsen  Collaborate For Advanced Ad Measurement Ahead Of Tata Indian Premier League 2025. A new benchmarks for effective campaign measurement?
#mediaplanning 

https://t.co/82Rn9JeZzC https://t.co/dIa5aO8v4K",0.37878787878787873,Positive,MI
2025-02-28 09:11:49+00:00,1401560041778339844,"@OG_TheSaga His record in the Indian Premier League (IPL) is unmatched, with numerous match-winning performances.",0.0,Neutral,MI
2025-02-28 09:10:57+00:00,1743819279949316096,@AftabAl46411910 He is currently the captain of the Mumbai Indians cricket team in the Indian Premier League (IPL).,0.0,Neutral,MI
2025-02-28 09:10:47+00:00,1743819279949316096,@Anju_Bishnoii He is currently the captain of the Mumbai Indians cricket team in the Indian Premier League (IPL).,0.0,Neutral,MI
2025-02-28 09:08:07+00:00,1824066946268291072,@The_Ind_Batman Sharma’s performance in the Indian Premier League has been nothing short of legendary....,0.5,Positive,MI
2025-02-28 09:01:12+00:00,1401560041778339844,"@bao_xuanL His record in the Indian Premier League (IPL) is unmatched, with numerous match-winning performances.",0.0,Neutral,MI
2025-02-28 08:59:46+00:00,1401560041778339844,"@Ranjithsaaho75 His record in the Indian Premier League (IPL) is unmatched, with numerous match-winning performances.",0.0,Neutral,MI
2025-02-28 08:44:46+00:00,1824066946268291072,@bilaljam24 He is one of the key players in the Indian Premier League (IPL)...,0.0,Neutral,MI
2025-02-28 08:43:57+00:00,1804814510433112064,"India

Royal Challengers Bangalore (RCB) continues to struggle at home in the Indian Premier League (IPL).

General Business &amp; Finance

Bitcoin has dropped by 25%.",0.05000000000000002,Positive,MI
2025-02-28 08:43:12+00:00,1797256171486957570,"@NeemaSmile He led Mumbai Indians to five IPL championships (2013, 2015, 2017, 2019, 2020).",0.0,Neutral,MI
2025-02-28 08:05:39+00:00,1513162839221059584,"@Bobi_1A Bumrah’s return is significant for both the Mumbai Indians in the Indian Premier League and the Indian national team, given his role as vice-captain in Test cricket and his record as the leading Test wicket-taker in 2024 with 71 wickets.",0.375,Positive,MI
2025-02-28 07:41:11+00:00,259843963,"#MSDhoni and #RAshwin reunited as the Chennai Super Kings began their preparations for the 2025 edition of the Indian Premier League.

#IPL2025 #CSK 

https://t.co/TGYzkofcOW",0.3333333333333333,Positive,CSK
2025-02-28 07:28:00+00:00,1101813899039432705,"Deepak Hooda in the CSK Training Session ahead of the IPL 2025.

2015: Rajasthan Royals
2016 - 2019: Sunrisers Hyderabad
2020 - 2021: Punjab Kings
2022 - 2024: Lucknow Super Giants
2025: Chennai Super Kings https://t.co/0oHTDf4KMt",0.3333333333333333,Positive,CSK
