Teams,Mat,Won,Lost,Tied,NR,Pts,NRR
OpponentDescriptionDateResultPunjab Kings2nd Match20 SepMatch tied (Delhi Capitals won the Super Over)Chennai Super Kings7th Match25 SepWon by 44 runsSunrisers Hyderabad11th Match29 SepLoss by 15 runsKolkata Knight Riders16th Match03 OctWon by 18 runsRoyal Challengers Bengaluru19th Match05 OctWon by 59 runsRajasthan Royals23rd Match09 OctWon by 46 runsMumbai Indians27th Match11 OctLoss by 5 wktsRajasthan Royals30th Match14 OctWon by 13 runsChennai Super Kings34th Match17 OctWon by 5 wktsPunjab Kings38th Match20 OctLoss by 5 wktsKolkata Knight Riders42nd Match24 OctLoss by 59 runsSunrisers Hyderabad47th Match27 OctLoss by 88 runsMumbai Indians51st Match31 OctLoss by 9 wktsRoyal Challengers Bengaluru55th Match02 NovWon by 6 wktsMumbai IndiansQualifier 105 NovLoss by 57 runsSunrisers HyderabadQualifier 208 NovWon by 17 runsMumbai IndiansFinal10 NovLoss by 5 wkts,Punjab Kings,2nd Match,20 Sep,Match tied (Delhi Capitals won the Super Over),Chennai Super Kings,7th Match,25 Sep
Punjab Kings,2nd Match,20 Sep,Match tied (Delhi Capitals won the Super Over),,,,
Chennai Super Kings,7th Match,25 Sep,Won by 44 runs,,,,
Sunrisers Hyderabad,11th Match,29 Sep,Loss by 15 runs,,,,
Kolkata Knight Riders,16th Match,03 Oct,Won by 18 runs,,,,
Royal Challengers Bengaluru,19th Match,05 Oct,Won by 59 runs,,,,
Rajasthan Royals,23rd Match,09 Oct,Won by 46 runs,,,,
Mumbai Indians,27th Match,11 Oct,Loss by 5 wkts,,,,
Rajasthan Royals,30th Match,14 Oct,Won by 13 runs,,,,
Chennai Super Kings,34th Match,17 Oct,Won by 5 wkts,,,,
Punjab Kings,38th Match,20 Oct,Loss by 5 wkts,,,,
Kolkata Knight Riders,42nd Match,24 Oct,Loss by 59 runs,,,,
Sunrisers Hyderabad,47th Match,27 Oct,Loss by 88 runs,,,,
Mumbai Indians,51st Match,31 Oct,Loss by 9 wkts,,,,
Royal Challengers Bengaluru,55th Match,02 Nov,Won by 6 wkts,,,,
Mumbai Indians,Qualifier 1,05 Nov,Loss by 57 runs,,,,
Sunrisers Hyderabad,Qualifier 2,08 Nov,Won by 17 runs,,,,
Mumbai Indians,Final,10 Nov,Loss by 5 wkts,,,,
Sunrisers Hyderabad,14,7,7,0,0,14,+0.608
OpponentDescriptionDateResultRoyal Challengers Bengaluru3rd Match21 SepLoss by 10 runsKolkata Knight Riders8th Match26 SepLoss by 7 wktsDelhi Capitals11th Match29 SepWon by 15 runsChennai Super Kings14th Match02 OctWon by 7 runsMumbai Indians17th Match04 OctLoss by 34 runsPunjab Kings22nd Match08 OctWon by 69 runsRajasthan Royals26th Match11 OctLoss by 5 wktsChennai Super Kings29th Match13 OctLoss by 20 runsKolkata Knight Riders35th Match18 OctMatch tied (Kolkata Knight Riders won the Super Over)Rajasthan Royals40th Match22 OctWon by 8 wktsPunjab Kings43rd Match24 OctLoss by 12 runsDelhi Capitals47th Match27 OctWon by 88 runsRoyal Challengers Bengaluru52nd Match31 OctWon by 5 wktsMumbai Indians56th Match03 NovWon by 10 wktsRoyal Challengers BengaluruEliminator06 NovWon by 6 wktsDelhi CapitalsQualifier 208 NovLoss by 17 runs,Royal Challengers Bengaluru,3rd Match,21 Sep,Loss by 10 runs,Kolkata Knight Riders,8th Match,26 Sep
Royal Challengers Bengaluru,3rd Match,21 Sep,Loss by 10 runs,,,,
Kolkata Knight Riders,8th Match,26 Sep,Loss by 7 wkts,,,,
Delhi Capitals,11th Match,29 Sep,Won by 15 runs,,,,
Chennai Super Kings,14th Match,02 Oct,Won by 7 runs,,,,
Mumbai Indians,17th Match,04 Oct,Loss by 34 runs,,,,
Punjab Kings,22nd Match,08 Oct,Won by 69 runs,,,,
Rajasthan Royals,26th Match,11 Oct,Loss by 5 wkts,,,,
Chennai Super Kings,29th Match,13 Oct,Loss by 20 runs,,,,
Kolkata Knight Riders,35th Match,18 Oct,Match tied (Kolkata Knight Riders won the Super Over),,,,
Rajasthan Royals,40th Match,22 Oct,Won by 8 wkts,,,,
Punjab Kings,43rd Match,24 Oct,Loss by 12 runs,,,,
Delhi Capitals,47th Match,27 Oct,Won by 88 runs,,,,
Royal Challengers Bengaluru,52nd Match,31 Oct,Won by 5 wkts,,,,
Mumbai Indians,56th Match,03 Nov,Won by 10 wkts,,,,
Royal Challengers Bengaluru,Eliminator,06 Nov,Won by 6 wkts,,,,
Delhi Capitals,Qualifier 2,08 Nov,Loss by 17 runs,,,,
Royal Challengers Bengaluru,14,7,7,0,0,14,-0.172
OpponentDescriptionDateResultSunrisers Hyderabad3rd Match21 SepWon by 10 runsPunjab Kings6th Match24 SepLoss by 97 runsMumbai Indians10th Match28 SepMatch tied (Royal Challengers Bangalore won the Super Over)Rajasthan Royals15th Match03 OctWon by 8 wktsDelhi Capitals19th Match05 OctLoss by 59 runsChennai Super Kings25th Match10 OctWon by 37 runsKolkata Knight Riders28th Match12 OctWon by 82 runsPunjab Kings31st Match15 OctLoss by 8 wktsRajasthan Royals33rd Match17 OctWon by 7 wktsKolkata Knight Riders39th Match21 OctWon by 8 wktsChennai Super Kings44th Match25 OctLoss by 8 wktsMumbai Indians48th Match28 OctLoss by 5 wktsSunrisers Hyderabad52nd Match31 OctLoss by 5 wktsDelhi Capitals55th Match02 NovLoss by 6 wktsSunrisers HyderabadEliminator06 NovLoss by 6 wkts,Sunrisers Hyderabad,3rd Match,21 Sep,Won by 10 runs,Punjab Kings,6th Match,24 Sep
Sunrisers Hyderabad,3rd Match,21 Sep,Won by 10 runs,,,,
Punjab Kings,6th Match,24 Sep,Loss by 97 runs,,,,
Mumbai Indians,10th Match,28 Sep,Match tied (Royal Challengers Bangalore won the Super Over),,,,
Rajasthan Royals,15th Match,03 Oct,Won by 8 wkts,,,,
Delhi Capitals,19th Match,05 Oct,Loss by 59 runs,,,,
Chennai Super Kings,25th Match,10 Oct,Won by 37 runs,,,,
Kolkata Knight Riders,28th Match,12 Oct,Won by 82 runs,,,,
Punjab Kings,31st Match,15 Oct,Loss by 8 wkts,,,,
Rajasthan Royals,33rd Match,17 Oct,Won by 7 wkts,,,,
Kolkata Knight Riders,39th Match,21 Oct,Won by 8 wkts,,,,
Chennai Super Kings,44th Match,25 Oct,Loss by 8 wkts,,,,
Mumbai Indians,48th Match,28 Oct,Loss by 5 wkts,,,,
Sunrisers Hyderabad,52nd Match,31 Oct,Loss by 5 wkts,,,,
Delhi Capitals,55th Match,02 Nov,Loss by 6 wkts,,,,
Sunrisers Hyderabad,Eliminator,06 Nov,Loss by 6 wkts,,,,
Kolkata Knight Riders,14,7,7,0,0,14,-0.214
OpponentDescriptionDateResultMumbai Indians5th Match23 SepLoss by 49 runsSunrisers Hyderabad8th Match26 SepWon by 7 wktsRajasthan Royals12th Match30 SepWon by 37 runsDelhi Capitals16th Match03 OctLoss by 18 runsChennai Super Kings21st Match07 OctWon by 10 runsPunjab Kings24th Match10 OctWon by 2 runsRoyal Challengers Bengaluru28th Match12 OctLoss by 82 runsMumbai Indians32nd Match16 OctLoss by 8 wktsSunrisers Hyderabad35th Match18 OctMatch tied (Kolkata Knight Riders won the Super Over)Royal Challengers Bengaluru39th Match21 OctLoss by 8 wktsDelhi Capitals42nd Match24 OctWon by 59 runsPunjab Kings46th Match26 OctLoss by 8 wktsChennai Super Kings49th Match29 OctLoss by 6 wktsRajasthan Royals54th Match01 NovWon by 60 runs,Mumbai Indians,5th Match,23 Sep,Loss by 49 runs,Sunrisers Hyderabad,8th Match,26 Sep
Mumbai Indians,5th Match,23 Sep,Loss by 49 runs,,,,
Sunrisers Hyderabad,8th Match,26 Sep,Won by 7 wkts,,,,
Rajasthan Royals,12th Match,30 Sep,Won by 37 runs,,,,
Delhi Capitals,16th Match,03 Oct,Loss by 18 runs,,,,
Chennai Super Kings,21st Match,07 Oct,Won by 10 runs,,,,
Punjab Kings,24th Match,10 Oct,Won by 2 runs,,,,
Royal Challengers Bengaluru,28th Match,12 Oct,Loss by 82 runs,,,,
Mumbai Indians,32nd Match,16 Oct,Loss by 8 wkts,,,,
Sunrisers Hyderabad,35th Match,18 Oct,Match tied (Kolkata Knight Riders won the Super Over),,,,
Royal Challengers Bengaluru,39th Match,21 Oct,Loss by 8 wkts,,,,
Delhi Capitals,42nd Match,24 Oct,Won by 59 runs,,,,
Punjab Kings,46th Match,26 Oct,Loss by 8 wkts,,,,
Chennai Super Kings,49th Match,29 Oct,Loss by 6 wkts,,,,
Rajasthan Royals,54th Match,01 Nov,Won by 60 runs,,,,
Punjab Kings,14,6,8,0,0,12,-0.162
OpponentDescriptionDateResultDelhi Capitals2nd Match20 SepMatch tied (Delhi Capitals won the Super Over)Royal Challengers Bengaluru6th Match24 SepWon by 97 runsRajasthan Royals9th Match27 SepLoss by 4 wktsMumbai Indians13th Match01 OctLoss by 48 runsChennai Super Kings18th Match04 OctLoss by 10 wktsSunrisers Hyderabad22nd Match08 OctLoss by 69 runsKolkata Knight Riders24th Match10 OctLoss by 2 runsRoyal Challengers Bengaluru31st Match15 OctWon by 8 wktsMumbai Indians36th Match18 OctMatch tied and Super Over tied - (Kings XI Punjab won the 2nd Super Over)Delhi Capitals38th Match20 OctWon by 5 wktsSunrisers Hyderabad43rd Match24 OctWon by 12 runsKolkata Knight Riders46th Match26 OctWon by 8 wktsRajasthan Royals50th Match30 OctLoss by 7 wktsChennai Super Kings53rd Match01 NovLoss by 9 wkts,Delhi Capitals,2nd Match,20 Sep,Match tied (Delhi Capitals won the Super Over),Royal Challengers Bengaluru,6th Match,24 Sep
Delhi Capitals,2nd Match,20 Sep,Match tied (Delhi Capitals won the Super Over),,,,
Royal Challengers Bengaluru,6th Match,24 Sep,Won by 97 runs,,,,
Rajasthan Royals,9th Match,27 Sep,Loss by 4 wkts,,,,
Mumbai Indians,13th Match,01 Oct,Loss by 48 runs,,,,
Chennai Super Kings,18th Match,04 Oct,Loss by 10 wkts,,,,
Sunrisers Hyderabad,22nd Match,08 Oct,Loss by 69 runs,,,,
Kolkata Knight Riders,24th Match,10 Oct,Loss by 2 runs,,,,
Royal Challengers Bengaluru,31st Match,15 Oct,Won by 8 wkts,,,,
Mumbai Indians,36th Match,18 Oct,Match tied and Super Over tied - (Kings XI Punjab won the 2nd Super Over),,,,
Delhi Capitals,38th Match,20 Oct,Won by 5 wkts,,,,
Sunrisers Hyderabad,43rd Match,24 Oct,Won by 12 runs,,,,
Kolkata Knight Riders,46th Match,26 Oct,Won by 8 wkts,,,,
Rajasthan Royals,50th Match,30 Oct,Loss by 7 wkts,,,,
Chennai Super Kings,53rd Match,01 Nov,Loss by 9 wkts,,,,
Chennai Super Kings,14,6,8,0,0,12,-0.455
OpponentDescriptionDateResultMumbai Indians1st Match19 SepWon by 5 wktsRajasthan Royals4th Match22 SepLoss by 16 runsDelhi Capitals7th Match25 SepLoss by 44 runsSunrisers Hyderabad14th Match02 OctLoss by 7 runsPunjab Kings18th Match04 OctWon by 10 wktsKolkata Knight Riders21st Match07 OctLoss by 10 runsRoyal Challengers Bengaluru25th Match10 OctLoss by 37 runsSunrisers Hyderabad29th Match13 OctWon by 20 runsDelhi Capitals34th Match17 OctLoss by 5 wktsRajasthan Royals37th Match19 OctLoss by 7 wktsMumbai Indians41st Match23 OctLoss by 10 wktsRoyal Challengers Bengaluru44th Match25 OctWon by 8 wktsKolkata Knight Riders49th Match29 OctWon by 6 wktsPunjab Kings53rd Match01 NovWon by 9 wkts,Mumbai Indians,1st Match,19 Sep,Won by 5 wkts,Rajasthan Royals,4th Match,22 Sep
Mumbai Indians,1st Match,19 Sep,Won by 5 wkts,,,,
Rajasthan Royals,4th Match,22 Sep,Loss by 16 runs,,,,
Delhi Capitals,7th Match,25 Sep,Loss by 44 runs,,,,
Sunrisers Hyderabad,14th Match,02 Oct,Loss by 7 runs,,,,
Punjab Kings,18th Match,04 Oct,Won by 10 wkts,,,,
Kolkata Knight Riders,21st Match,07 Oct,Loss by 10 runs,,,,
Royal Challengers Bengaluru,25th Match,10 Oct,Loss by 37 runs,,,,
Sunrisers Hyderabad,29th Match,13 Oct,Won by 20 runs,,,,
Delhi Capitals,34th Match,17 Oct,Loss by 5 wkts,,,,
Rajasthan Royals,37th Match,19 Oct,Loss by 7 wkts,,,,
Mumbai Indians,41st Match,23 Oct,Loss by 10 wkts,,,,
Royal Challengers Bengaluru,44th Match,25 Oct,Won by 8 wkts,,,,
Kolkata Knight Riders,49th Match,29 Oct,Won by 6 wkts,,,,
Punjab Kings,53rd Match,01 Nov,Won by 9 wkts,,,,
Rajasthan Royals,14,6,8,0,0,12,-0.569
OpponentDescriptionDateResultChennai Super Kings4th Match22 SepWon by 16 runsPunjab Kings9th Match27 SepWon by 4 wktsKolkata Knight Riders12th Match30 SepLoss by 37 runsRoyal Challengers Bengaluru15th Match03 OctLoss by 8 wktsMumbai Indians20th Match06 OctLoss by 57 runsDelhi Capitals23rd Match09 OctLoss by 46 runsSunrisers Hyderabad26th Match11 OctWon by 5 wktsDelhi Capitals30th Match14 OctLoss by 13 runsRoyal Challengers Bengaluru33rd Match17 OctLoss by 7 wktsChennai Super Kings37th Match19 OctWon by 7 wktsSunrisers Hyderabad40th Match22 OctLoss by 8 wktsMumbai Indians45th Match25 OctWon by 8 wktsPunjab Kings50th Match30 OctWon by 7 wktsKolkata Knight Riders54th Match01 NovLoss by 60 runs,Chennai Super Kings,4th Match,22 Sep,Won by 16 runs,Punjab Kings,9th Match,27 Sep
Chennai Super Kings,4th Match,22 Sep,Won by 16 runs,,,,
Punjab Kings,9th Match,27 Sep,Won by 4 wkts,,,,
Kolkata Knight Riders,12th Match,30 Sep,Loss by 37 runs,,,,
Royal Challengers Bengaluru,15th Match,03 Oct,Loss by 8 wkts,,,,
Mumbai Indians,20th Match,06 Oct,Loss by 57 runs,,,,
Delhi Capitals,23rd Match,09 Oct,Loss by 46 runs,,,,
Sunrisers Hyderabad,26th Match,11 Oct,Won by 5 wkts,,,,
Delhi Capitals,30th Match,14 Oct,Loss by 13 runs,,,,
Royal Challengers Bengaluru,33rd Match,17 Oct,Loss by 7 wkts,,,,
Chennai Super Kings,37th Match,19 Oct,Won by 7 wkts,,,,
Sunrisers Hyderabad,40th Match,22 Oct,Loss by 8 wkts,,,,
Mumbai Indians,45th Match,25 Oct,Won by 8 wkts,,,,
Punjab Kings,50th Match,30 Oct,Won by 7 wkts,,,,
Kolkata Knight Riders,54th Match,01 Nov,Loss by 60 runs,,,,
